age/year,occupation,income,province,use,prod,prod2,prod3,prod4
36-40 ปี,ลูกจ้าง,"10,000-20,000 บาท",เชียงใหม่,ครีมบำรุงผิวหน้า,ครีมบำรุงผิวหน้า,ตัวแทนจำหน่าย(ขายตรง),ซื้อ,2 เดือน
36-40 ปี,ข้าราชการ/รัฐวิสาหกิจ,"30,001-40,000 บาท",พัทลุง,แชมพู,ครีมบำรุงผิวหน้า,ร้านค้าในอินเทอร์เน็ต,ซื้อ,2 เดือน
41-45 ปี,ข้าราชการ/รัฐวิสาหกิจ,"40,001-50,000 บาท",กาญจนบุรี,แชมพู,เจลล้างมือ,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,3 เดือน
36-40 ปี,ลูกจ้าง,"20,001-30,000 บาท",ประจวบคีรีขันธ์,โลชั่นบำรุงผิว,โลชั่นบำรุงผิว,ร้านค้าเพื่อความสวยงามทั่วไป,ไม่ซื้อ,2 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",กรุงเทพมหานคร,โลชั่นบำรุงผิว,ครีมบำรุงผิวหน้า,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,3 เดือน
30-35 ปี,ลูกจ้าง,"40,001-50,000 บาท",กรุงเทพมหานคร,โลชั่นบำรุงผิว,ครีมบำรุงผิวหน้า,ร้านค้าในอินเทอร์เน็ต,ซื้อ,2 เดือน
30-35 ปี,ลูกจ้าง,"10,000-20,000 บาท",กรุงเทพมหานคร,ครีมกันแดด,โลชั่นบำรุงผิว,ร้านค้าเพื่อความสวยงามทั่วไป,ไม่ซื้อ,1 เดือน
30-35 ปี,อาชีพอิสระ,"10,000-20,000 บาท",ประจวบคีรีขันธ์,โลชั่นบำรุงผิว,ครีมบำรุงรอบดวงตา,ร้านค้าในอินเทอร์เน็ต,ซื้อ,3 เดือน
36-40 ปี,ลูกจ้าง,"30,001-40,000 บาท",กรุงเทพมหานคร,ครีมบำรุงผิวหน้า,โลชั่นบำรุงผิว,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,3 เดือน
36-40 ปี,ธุรกิจส่วนตัว,"30,001-40,000 บาท",ปทุมธานี,ครีมบำรุงผิวหน้า,ครีมบำรุงผิวหน้า,ร้านค้าเพื่อความสวยงามทั่วไป,ซื้อ,1 เดือน
30-35 ปี,ลูกจ้าง,"20,001-30,000 บาท",ชลบุรี,เจลล้างมือ,ครีมบำรุงผิวหน้า,เคาเตอร์แบรนด์ห้างสรรพสินค้า,ซื้อ,3 เดือน
